;Purchase;Organisation;Price;Date
37;Услуги по проведению корпоративного мероприятия, посвященного празднованию профессионального праздника - Дня Энергетика. Кол-во гостей - 350 человек.;"Закрытое акционерное общество ""Новосибирскэнергоснабкомплектоборудование""
Заказчик:ЗАО ""Сибирский ЭНТЦ""";;02.10.2012
38;Оказание услуг по предоставлению помещений и звуковой аппаратуры Балаковского драматического театра на время проведения праздничных мероприятий, посвященных празднованию «Дня Энергетика»;"Акционерное общество ""Концерн Росэнергоатом"" филиал ""Балаковская атомная станция""
Заказчик:ОАО ""Концерн Росэнергоатом""";609000;04.10.2012
39;"Услуги по проведению корпоративного мероприятия, посвященного празднованию профессионального праздника - Дня Энергетика для сотрудников Томского филиала ЗАО ""Сибирский ЭНТЦ"". Дата проведения - 22.12.2012г. Кол-во гостей 250 чел.";"Закрытое акционерное общество ""Новосибирскэнергоснабкомплектоборудование""
Заказчик:ЗАО ""Сибирский ЭНТЦ""";;18.10.2012
40;Проведение расчетов потерь напряжения для определения пунктов контроля ПКЭ;"Закрытое акционерное общество ""Новосибирскэнергоснабкомплектоборудование""
Заказчик:ЗАО ""Инженерный центр""";1600000;10.10.2012
41;Насосные агрегаты;"Открытое Акционерное Общество ""УАЗ""
Заказчик:ООО ""УАЗ-Металлургия""";;17.12.2012
42;Электромонтажные работы по замене электропроводки и распределительных устройств в административном здании;"Открытое акционерное общество ""Дальмостострой""";;21.09.2012
43;"Работы по переустройству кабеля связи МКСАКп-4х4х1,2 ОАО «Магаданэнерго» филиал «Южные электрические сети» на участке 75-77 км автомобильной дороги ""Палатка-Усть Омчуг"" в Магаданской области";"Открытое акционерное общество ""Дальмостострой""";;14.09.2012
44;Лот №1 Установка опор ЛЭП 0,4-35 кВ контактной сети и промышленного электротранспорта, линий связи и радиофикации деревянных Лот №2 Подвеска проводов линий электропередач и контактных линий Лот №3 Устройство заземления деревянных опор и типового контура заземления;Интегратор ММВБ;339691;17.09.2012
45;Открытый одноэтапный конкурс в электронной форме без квалификационного отбора на право заключения договора на изготовление, поставку, шеф-монтаж и автономную наладку оборудования КЭ СУЗ энергоблоков № 1, 2 Ленинградской АЭС-2;"Акционерное общество ""Атомкомплект""
Заказчик:ОАО ""ВНИИАЭС""";827398900;19.03.2013
46;Оказание услуг по организации и обслуживанию праздничного мероприятия – Дня энергетика;"Акционерное общество ""Концерн Росэнергоатом"" филиал ""Кольская АЭС""";800000;05.12.2012
47;"Оказание услуг по организации и проведению корпоративного праздника ""День энергетика""";"Открытое акционерное общество Санкт-Петербургский научно-исследовательский и проектно-конструкторский институт ""АТОМЭНЕРГОПРОЕКТ"" (ОАО ""СПбАЭП"")";2959100;06.12.2012
48;Оказание услуг по организации концерта популярного артиста российской эстрады в рамках празднования Дня Энергетика;"Акционерное общество ""Концерн Росэнергоатом"" филиал ""Кольская АЭС""";1000000;02.11.2012
49;Организация и проведение торжественного вечера, посвященного Дню Энергетика в соответствии с техническим заданием Кольской АЭС;"Акционерное общество ""Концерн Росэнергоатом"" филиал ""Кольская АЭС""";700000;26.11.2012
50;"Комплект оборудования досугового центра СП ""Энергетик""";"Акционерное общество ""Концерн Росэнергоатом"" филиал ""Нововоронежская АЭС""
Заказчик:ОАО ""Концерн Росэнергоатом""";1464636;14.12.2012
51;"СМР по проекту ""Реконструкция спальных корпусов санатория-профилактория ""Энергетик""";"Акционерное общество ""Концерн Росэнергоатом"" филиал ""Нововоронежская АЭС""
Заказчик:ОАО ""Концерн Росэнергоатом""";48880000;30.11.2012
52;"Оказание услуг по уборке помещений и территории санатория-профилактория ""Энергетик""";"Акционерное общество ""Концерн Росэнергоатом"" филиал ""Нововоронежская АЭС""
Заказчик:ОАО ""Концерн Росэнергоатом""";11108390;11.01.2013
53;"Выполнение работ по установке противопожарных дверей и лестниц в СП ""Энергетик""";"Акционерное общество ""Концерн Росэнергоатом"" филиал ""Нововоронежская АЭС""
Заказчик:ОАО ""Концерн Росэнергоатом""";1104143;04.12.2012
54;Услуги по проведению корпоративного мероприятия, посвященного празднованию профессионального праздника - Дня Энергетика. Кол-во гостей - 200 человек. Срок проведения мероприятия - 22.12.2012;"Закрытое акционерное общество ""Новосибирскэнергоснабкомплектоборудование""
Заказчик:ЗАО ""Сибирский ЭНТЦ""";678000;26.11.2012
55;"Организация, проведение и обслуживание корпоративного мероприятия (торжественный вечер), посвященного Дню энергетика для работников Красноярского филиала ЗАО ""Сибирский ЭНТЦ"" в количестве 100 - 140 чел. .";"Закрытое акционерное общество ""Новосибирскэнергоснабкомплектоборудование""
Заказчик:ЗАО ""Сибирский ЭНТЦ""";;01.11.2012
56;"Выполнение работ по ремонту лечебных кабинетов, жилых комнат и лестничных клеток корпуса №2 СП ""Энергетик""";"Акционерное общество ""Концерн Росэнергоатом"" филиал ""Нововоронежская АЭС""
Заказчик:ОАО ""Концерн Росэнергоатом""";6122491;27.11.2012
57;Оказание услуг по техническому обслуживанию зданий, сооружений и оборудования санатория-профилактория «Энергетик».;"Акционерное общество ""Концерн Росэнергоатом"" филиал ""Нововоронежская АЭС""
Заказчик:ОАО ""Концерн Росэнергоатом""";21169864;01.02.2013
58;"Ремонт дорог и тротуаров санатория-профилактория ""Энергетик"" инв. №3700728 в соотвествии с ведомостью дефектов";"Акционерное общество ""Концерн Росэнергоатом"" филиал ""Нововоронежская АЭС""
Заказчик:ОАО ""Концерн Росэнергоатом""";4501281;27.11.2012
59;"Оказание услуг по организации и обеспечению питанием отдыхающих, проходящих реабилитационно-восстановительные процедуры на базе СП ""Энергетик""";"Акционерное общество ""Концерн Росэнергоатом"" филиал ""Нововоронежская АЭС""
Заказчик:ОАО ""Концерн Росэнергоатом""";19438506;11.01.2013
60;"Оказание услуг по круглосуточному дежурству (мониторингу) в жилых, лечебных корпусах СП ""Энергетик"" и регистрации прибывающих для проживания гостей.";"Акционерное общество ""Концерн Росэнергоатом"" филиал ""Нововоронежская АЭС""
Заказчик:ОАО ""Концерн Росэнергоатом""";6451782;18.12.2012
61;"Выполнение работ по текущему ремонту помещений корпуса №3 СП ""Энергетик"" (инв.№ 3700708) Часть отдельностоящего здания (медико-реабилитационный комплекс.Гостиничный корпус)";"Акционерное общество ""Концерн Росэнергоатом"" филиал ""Нововоронежская АЭС""
Заказчик:ОАО ""Концерн Росэнергоатом""";8799210;27.11.2012
62;"Оказание услуг по охране объектов и территории СП ""Энергетк""";"Акционерное общество ""Концерн Росэнергоатом"" филиал ""Нововоронежская АЭС""
Заказчик:ОАО ""Концерн Росэнергоатом""";1712424;13.12.2012
63;Лот №1 Прокладка сетей наружного освещения;Интегратор ММВБ;509443;29.01.2015
64;Лот №1 Счетчики электрические и электронные;Интегратор ММВБ;350000;29.01.2015
65;Лот №1 Счетчики электрические и электронные;Интегратор ММВБ;350000;29.01.2015
66;Сопровождение эксплуатации энергоблоков №1,2 со стороны Научного руководителя в части согласования эксплуатационной документации, программ, методик и отчетов на соот-ветствие требованиям норм и правил в области атомной энергетики;"Филиал АО ""Концерн Росэнергоатом"" ""Ростовская атомная станция""
Заказчик:ОАО ""Концерн Росэнергоатом""";2360000;31.01.2013
67;Сопровождение эксплуатации энергоблоков №1,2 со стороны Генерального проектировщика в части согласования эксплуатационной документации, программ, методик и отчетов на соответствие требованиям норм и правил в области атомной энергетики.;"Филиал АО ""Концерн Росэнергоатом"" ""Ростовская атомная станция""
Заказчик:ОАО ""Концерн Росэнергоатом""";1947000;06.02.2013
68;"Изготовление фирменной продукции для ОАО ""СИБЭКО"" (подарки на 23 февраля и 8 марта, 9 мая, 1 сентября, подарки к праздникам День Энергетика и Новый год; Внутрикорпоративные мероприятия,награждения сотрудников по итогам конкурсов; подарки на годовое собрание акционеров; подарки для партнеров и контрагентов)";"Закрытое акционерное общество ""Новосибирскэнергоснабкомплектоборудование""
Заказчик:ОАО ""СИБЭКО""";1836000;31.01.2013
