;Purchase;Organisation;Price;Date
0;Оказание комплекса услуг по реализации проекта АТЭС «Возобновляемые источники энергии (ВИЭ) и рынок электроэнергии: задачи и условия для обеспечения устойчивого развития» в 2012 году;Министерство экономического развития Российской Федерации;3 800 000.00;24.09.2012
1;Оказание комплекса услуг по реализации проекта АТЭС «Возобновляемые источники энергии (ВИЭ) и рынок электроэнергии: задачи и условия для обеспечения устойчивого развития» в 2012 году (г. Москва);Министерство экономического развития Российской Федерации;3 800 000.00;25.05.2012
